% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:40:23 +1100
Time (s), Voltage (V)
6.220800000000e-05, 3.874573e-01
6.451200000000e-05, 4.007389e-01
6.681600000000e-05, 4.139442e-01
6.912000000000e-05, 4.270732e-01
7.142400000000e-05, 4.401258e-01
7.372800000000e-05, 4.531021e-01
7.603200000000e-05, 4.660021e-01
7.833600000000e-05, 4.787494e-01
8.064000000000e-05, 4.913441e-01
8.294400000000e-05, 5.038624e-01
8.524800000000e-05, 5.163807e-01
8.755200000000e-05, 5.286700e-01
8.985600000000e-05, 5.409594e-01
9.216000000000e-05, 5.530960e-01
9.446400000000e-05, 5.650037e-01
9.676800000000e-05, 5.769877e-01
9.907200000000e-05, 5.886664e-01
1.013760000000e-04, 6.003450e-01
1.036800000000e-04, 6.118711e-01
1.059840000000e-04, 6.231681e-01
1.082880000000e-04, 6.344651e-01
1.105920000000e-04, 6.456095e-01
1.128960000000e-04, 6.566012e-01
1.152000000000e-04, 6.674402e-01
1.175040000000e-04, 6.781266e-01
1.198080000000e-04, 6.887366e-01
1.221120000000e-04, 6.991940e-01
1.244160000000e-04, 7.094224e-01
1.267200000000e-04, 7.195744e-01
1.290240000000e-04, 7.294975e-01
1.313280000000e-04, 7.393442e-01
1.336320000000e-04, 7.489619e-01
1.359360000000e-04, 7.585033e-01
1.382400000000e-04, 7.678921e-01
1.405440000000e-04, 7.770518e-01
1.428480000000e-04, 7.860589e-01
1.451520000000e-04, 7.949897e-01
1.474560000000e-04, 8.036914e-01
1.497600000000e-04, 8.121642e-01
1.520640000000e-04, 8.205606e-01
1.543680000000e-04, 8.287281e-01
1.566720000000e-04, 8.367428e-01
1.589760000000e-04, 8.446049e-01
1.612800000000e-04, 8.522381e-01
1.635840000000e-04, 8.597185e-01
1.658880000000e-04, 8.670463e-01
1.681920000000e-04, 8.741451e-01
1.704960000000e-04, 8.810913e-01
1.728000000000e-04, 8.878848e-01
1.751040000000e-04, 8.943729e-01
1.774080000000e-04, 9.007847e-01
1.797120000000e-04, 9.069676e-01
1.820160000000e-04, 9.129977e-01
1.843200000000e-04, 9.187989e-01
1.866240000000e-04, 9.244474e-01
1.889280000000e-04, 9.298669e-01
1.912320000000e-04, 9.350574e-01
1.935360000000e-04, 9.400953e-01
1.958400000000e-04, 9.449042e-01
1.981440000000e-04, 9.495604e-01
2.004480000000e-04, 9.539876e-01
2.027520000000e-04, 9.581858e-01
2.050560000000e-04, 9.622314e-01
2.073600000000e-04, 9.661243e-01
2.096640000000e-04, 9.697882e-01
2.119680000000e-04, 9.732231e-01
2.142720000000e-04, 9.763526e-01
2.165760000000e-04, 9.794059e-01
2.188800000000e-04, 9.822301e-01
2.211840000000e-04, 9.849017e-01
2.234880000000e-04, 9.872680e-01
2.257920000000e-04, 9.894816e-01
2.280960000000e-04, 9.914662e-01
2.304000000000e-04, 9.932218e-01
2.327040000000e-04, 9.948248e-01
2.350080000000e-04, 9.961988e-01
2.373120000000e-04, 9.973437e-01
2.396160000000e-04, 9.983360e-01
2.419200000000e-04, 9.990230e-01
2.442240000000e-04, 9.995573e-01
2.465280000000e-04, 9.998627e-01
2.488320000000e-04, 9.999390e-01
2.511360000000e-04, 9.998627e-01
2.534400000000e-04, 9.995573e-01
2.557440000000e-04, 9.990230e-01
2.580480000000e-04, 9.983360e-01
2.603520000000e-04, 9.973437e-01
2.626560000000e-04, 9.961988e-01
2.649600000000e-04, 9.948248e-01
2.672640000000e-04, 9.933745e-01
2.695680000000e-04, 9.915425e-01
2.718720000000e-04, 9.895579e-01
2.741760000000e-04, 9.874207e-01
2.764800000000e-04, 9.850544e-01
2.787840000000e-04, 9.823828e-01
2.810880000000e-04, 9.795585e-01
2.833920000000e-04, 9.765816e-01
2.856960000000e-04, 9.733757e-01
2.880000000000e-04, 9.699408e-01
2.903040000000e-04, 9.662769e-01
2.926080000000e-04, 9.624604e-01
2.949120000000e-04, 9.584911e-01
2.972160000000e-04, 9.541403e-01
2.995200000000e-04, 9.497894e-01
3.018240000000e-04, 9.451332e-01
3.041280000000e-04, 9.403243e-01
3.064320000000e-04, 9.352864e-01
3.087360000000e-04, 9.301722e-01
3.110400000000e-04, 9.247527e-01
3.133440000000e-04, 9.190279e-01
3.156480000000e-04, 9.133030e-01
3.179520000000e-04, 9.072729e-01
3.202560000000e-04, 9.010901e-01
3.225600000000e-04, 8.946782e-01
3.248640000000e-04, 8.881901e-01
3.271680000000e-04, 8.813966e-01
3.294720000000e-04, 8.744505e-01
3.317760000000e-04, 8.673517e-01
3.340800000000e-04, 8.601002e-01
3.363840000000e-04, 8.526197e-01
3.386880000000e-04, 8.449866e-01
3.409920000000e-04, 8.371245e-01
3.432960000000e-04, 8.291097e-01
3.456000000000e-04, 8.209423e-01
3.479040000000e-04, 8.125458e-01
3.502080000000e-04, 8.040731e-01
3.525120000000e-04, 7.954476e-01
3.548160000000e-04, 7.865169e-01
3.571200000000e-04, 7.775098e-01
