% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.754 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:48:05 +1100
Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-5.001920000000e-04, -4.045555e-03, 8.769600e-04, -6.466863e+01
-4.974080000000e-04, -1.518991e-02, 8.797440e-04, -7.071912e+01
-4.946240000000e-04, -2.633427e-02, 8.825280e-04, -8.324043e+01
-4.918400000000e-04, -3.747863e-02, 8.853120e-04, -9.398030e+01
-4.890560000000e-04, -4.862299e-02, 8.880960e-04, -1.001857e+02
-4.862720000000e-04, -5.976735e-02, 8.908800e-04, -9.308800e+01
-4.834880000000e-04, -7.091170e-02, 8.936640e-04, -1.044861e+02
-4.807040000000e-04, -8.205606e-02, 8.964480e-04, -7.747408e+01
-4.779200000000e-04, -9.320042e-02, 8.992320e-04, -6.838295e+01
-4.751360000000e-04, -1.043448e-01, 9.020160e-04, -6.391639e+01
-4.723520000000e-04, -1.154891e-01, 9.048000e-04, -6.253127e+01
-4.695680000000e-04, -1.266335e-01, 9.075840e-04, -6.392877e+01
-4.667840000000e-04, -1.377779e-01, 9.103680e-04, -6.841222e+01
-4.640000000000e-04, -1.489222e-01, 9.131520e-04, -7.749093e+01
-4.612160000000e-04, -1.599902e-01, 9.159360e-04, -1.096631e+02
-4.584320000000e-04, -1.711346e-01, 9.187200e-04, -9.491411e+01
-4.556480000000e-04, -1.822790e-01, 9.215040e-04, -9.833049e+01
-4.528640000000e-04, -1.934233e-01, 9.242880e-04, -9.479204e+01
-4.500800000000e-04, -2.045677e-01, 9.270720e-04, -8.404504e+01
-4.472960000000e-04, -2.156357e-01, 9.298560e-04, -7.176104e+01
-4.445120000000e-04, -2.267801e-01, 9.326400e-04, -6.582880e+01
-4.417280000000e-04, -2.379244e-01, 9.354240e-04, -6.330210e+01
-4.389440000000e-04, -2.490688e-01, 9.382080e-04, -6.358549e+01
-4.361600000000e-04, -2.602131e-01, 9.409920e-04, -6.674414e+01
-4.333760000000e-04, -2.713575e-01, 9.437760e-04, -7.360165e+01
-4.305920000000e-04, -2.825018e-01, 9.465600e-04, -8.852173e+01
-4.278080000000e-04, -2.936462e-01, 9.493440e-04, -9.459873e+01
-4.250240000000e-04, -3.047906e-01, 9.521280e-04, -1.137512e+02
-4.222400000000e-04, -3.159349e-01, 9.549120e-04, -9.369987e+01
